Source,Year,Mean,Date,Month,Season,Mean_Normalized
gcag,1858-10,-0.2887,1858-10-01,10,Post-Monsoon,0.29949700978256566
gcag,1858-11,-0.3655,1858-11-01,11,Post-Monsoon,0.2690799635629134
gcag,1858-12,-0.455,1858-12-01,12,Winter,0.23363301516891755
gcag,1859-01,-0.3815,1859-01-01,1,Winter,0.2627430789338192
gcag,1859-02,-0.3435,1859-02-01,2,Winter,0.2777931799279179
gcag,1859-03,-0.3137,1859-03-01,3,Summer,0.28959562754960594
gcag,1859-04,-0.1572,1859-04-01,4,Summer,0.3515782803279338
gcag,1859-05,-0.1525,1859-05-01,5,Summer,0.3534397401877302
gcag,1859-06,-0.2496,1859-06-01,6,Monsoon,0.31498277159491467
gcag,1859-07,-0.3121,1859-07-01,7,Monsoon,0.29022931601251534
gcag,1859-08,-0.2446,1859-08-01,8,Monsoon,0.3169630480415066
gcag,1859-09,-0.3939,1859-09-01,9,Post-Monsoon,0.25783199334627116
gcag,1859-10,-0.2547,1859-10-01,10,Post-Monsoon,0.3129628896193909
gcag,1859-11,-0.2875,1859-11-01,11,Post-Monsoon,0.29997227612974775
gcag,1859-12,-0.2844,1859-12-01,12,Winter,0.30120004752663476
gcag,1860-01,-0.3906,1860-01-01,1,Winter,0.2591389758010218
gcag,1860-02,-0.4683,1860-02-01,2,Winter,0.22836547982098304
gcag,1860-03,-0.7865,1860-03-01,3,Summer,0.10234068675987168
gcag,1860-04,-0.3061,1860-04-01,4,Summer,0.2926056477484257
gcag,1860-05,-0.3636,1860-05-01,5,Summer,0.26983246861261834
gcag,1860-06,-0.2115,1860-06-01,6,Monsoon,0.33007247811794527
gcag,1860-07,-0.1848,1860-07-01,7,Monsoon,0.3406471543427463
gcag,1860-08,-0.1142,1860-08-01,8,Monsoon,0.36860865776862456
gcag,1860-09,-0.1313,1860-09-01,9,Post-Monsoon,0.3618361123212801
gcag,1860-10,-0.346,1860-10-01,10,Post-Monsoon,0.276803041704622
gcag,1860-11,-0.6049,1860-11-01,11,Post-Monsoon,0.1742643273000911
gcag,1860-12,-0.7742,1860-12-01,12,Winter,0.10721216681848784
gcag,1861-01,-0.918,1861-01-01,1,Winter,0.05025941621450351
gcag,1861-02,-0.6246,1861-02-01,2,Winter,0.16646203810051882
gcag,1861-03,-0.4157,1861-03-01,3,Summer,0.2491979880391303
gcag,1861-04,-0.3862,1861-04-01,4,Summer,0.26088161907402274
gcag,1861-05,-0.6603,1861-05-01,5,Summer,0.15232286427185235
gcag,1861-06,-0.2514,1861-06-01,6,Monsoon,0.31426987207414153
gcag,1861-07,-0.2967,1861-07-01,7,Monsoon,0.29632856746801856
gcag,1861-08,-0.0411,1861-08-01,8,Monsoon,0.3975602994177988
gcag,1861-09,-0.2703,1861-09-01,9,Post-Monsoon,0.306784427106024
gcag,1861-10,-0.4766,1861-10-01,10,Post-Monsoon,0.2250782209196404
gcag,1861-11,-0.4576,1861-11-01,11,Post-Monsoon,0.23260327141668977
gcag,1861-12,-0.3509,1861-12-01,12,Winter,0.27486237078696185
gcag,1862-01,-0.8248,1862-01-01,1,Winter,0.08717176917897738
gcag,1862-02,-0.7155,1862-02-01,2,Winter,0.13046061230147726
gcag,1862-03,-0.5354,1862-03-01,3,Summer,0.2017901699077191
gcag,1862-04,-0.5221,1862-04-01,4,Summer,0.20705770525565367
gcag,1862-05,-0.3475,1862-05-01,5,Summer,0.27620895877064444
gcag,1862-06,-0.3066,1862-06-01,6,Monsoon,0.29240762010376653
gcag,1862-07,-0.3449,1862-07-01,7,Monsoon,0.2772387025228722
gcag,1862-08,-0.4562,1862-08-01,8,Monsoon,0.23315774882173554
gcag,1862-09,-0.3624,1862-09-01,9,Post-Monsoon,0.27030773495980037
gcag,1862-10,-0.4487,1862-10-01,10,Post-Monsoon,0.23612816349162344
gcag,1862-11,-0.6778,1862-11-01,11,Post-Monsoon,0.14539189670878055
gcag,1862-12,-0.8945,1862-12-01,12,Winter,0.059566715513485684
gcag,1863-01,-0.0763,1863-01-01,1,Winter,0.3836191532337914
gcag,1863-02,-0.2495,1863-02-01,2,Winter,0.31502237712384645
gcag,1863-03,-0.355,1863-03-01,3,Summer,0.2732385441007565
gcag,1863-04,-0.2883,1863-04-01,4,Summer,0.299655431898293
gcag,1863-05,-0.3837,1863-05-01,5,Summer,0.26187175729731876
gcag,1863-06,-0.3683,1863-06-01,6,Monsoon,0.26797100875282187
gcag,1863-07,-0.3123,1863-07-01,7,Monsoon,0.29015010495465166
gcag,1863-08,-0.2974,1863-08-01,8,Monsoon,0.29605132876549567
gcag,1863-09,-0.352,1863-09-01,9,Post-Monsoon,0.27442670996871166
gcag,1863-10,-0.5043,1863-10-01,10,Post-Monsoon,0.21410748940552102
gcag,1863-11,-0.4406,1863-11-01,11,Post-Monsoon,0.23933621133510238
gcag,1863-12,-0.5032,1863-12-01,12,Winter,0.21454315022377124
gcag,1864-01,-0.8532,1864-01-01,1,Winter,0.07592379896233514
gcag,1864-02,-0.5934,1864-02-01,2,Winter,0.17881896312725254
